Transaction_ID,Account_ID,Transaction_Date,Channel,Transaction_Type,Category,Amount,Is_Potential_Fraud
TXN000088,ACC00210,2022-07-01,POS,Credit,Bills,122188.24,0
TXN000089,ACC00442,2022-06-19,Branch,Credit,Shopping,179238.53,0
TXN000090,ACC00255,2021-04-07,Branch,Debit,Cash Withdrawal,111397.52,0
TXN000091,ACC00020,2021-08-18,ATM,Credit,Transfer,146681.33,0
TXN000092,ACC00058,2021-08-15,UPI,Credit,Shopping,90695.13,0
TXN000093,ACC00112,2022-01-06,UPI,Credit,EMI,104848.58,0
TXN000094,ACC00313,2021-02-24,ATM,Credit,Cash Withdrawal,139030.26,0
TXN000095,ACC00196,2022-02-28,UPI,Debit,EMI,162490.38,0
TXN000096,ACC00375,2021-11-11,POS,Credit,Salary,131907.3,0
TXN000097,ACC00353,2021-02-01,Branch,Debit,Fees,195499.52,0
TXN000098,ACC00092,2021-04-03,ATM,Debit,Fees,163973.53,0
TXN000099,ACC00052,2022-06-03,POS,Debit,Shopping,155443.18,0
TXN000100,ACC00293,2023-05-03,ATM,Credit,Transfer,169028.06,0
TXN000101,ACC00008,2023-01-22,Branch,Debit,Bills,56278.13,0
TXN000102,ACC00300,2022-02-20,UPI,Credit,Salary,86437.83,0
TXN000103,ACC00098,2022-07-11,POS,Credit,Shopping,112914.36,0
TXN000104,ACC00236,2022-01-01,Branch,Credit,Salary,92504.14,0
TXN000105,ACC00389,2022-08-22,ATM,Debit,Shopping,169499.19,0
TXN000106,ACC00374,2021-11-27,Online,Credit,Fees,5462.35,0
TXN000107,ACC00069,2022-11-20,POS,Debit,Bills,41874.62,0
TXN000108,ACC00415,2021-01-11,ATM,Debit,Bills,176347.22,0
TXN000109,ACC00045,2023-03-29,ATM,Debit,Fees,11867.07,0
TXN000110,ACC00137,2022-02-23,Branch,Debit,Transfer,45436.31,0
TXN000111,ACC00234,2023-06-30,ATM,Credit,Salary,70282.5,0
TXN000112,ACC00032,2021-12-14,POS,Credit,Transfer,150160.58,0
TXN000113,ACC00289,2023-08-16,POS,Credit,Shopping,112058.13,0
TXN000114,ACC00126,2022-02-16,ATM,Credit,Bills,190923.21,0
TXN000115,ACC00067,2021-06-02,Branch,Credit,Bills,45613.61,0
TXN000116,ACC00030,2021-04-02,POS,Debit,EMI,174430.47,0
TXN000117,ACC00114,2021-11-27,Online,Debit,EMI,56618.55,1
TXN000118,ACC00204,2023-08-13,UPI,Debit,Fees,49137.38,0
TXN000119,ACC00029,2023-08-28,Branch,Credit,Transfer,99700.12,0
TXN000120,ACC00131,2022-07-08,Branch,Debit,Salary,14287.34,0
TXN000121,ACC00185,2023-07-19,UPI,Credit,Fees,76892.19,0
TXN000122,ACC00253,2021-07-13,UPI,Debit,Shopping,71167.41,0
TXN000123,ACC00286,2022-06-14,POS,Debit,Transfer,32062.31,0
TXN000124,ACC00393,2023-04-25,ATM,Debit,Bills,172165.93,0
TXN000125,ACC00410,2022-10-01,ATM,Credit,Bills,77208.63,0
TXN000126,ACC00386,2022-04-23,Online,Credit,Bills,196384.94,0
TXN000127,ACC00062,2022-04-25,ATM,Credit,Shopping,179946.6,0
TXN000128,ACC00003,2021-10-15,Online,Credit,Fees,39002.4,0
TXN000129,ACC00430,2022-11-29,Online,Debit,Transfer,101049.18,0
TXN000130,ACC00068,2022-11-26,Branch,Credit,Shopping,120380.74,0
TXN000131,ACC00025,2022-06-24,Branch,Credit,Cash Withdrawal,163801.15,0
TXN000132,ACC00179,2021-11-26,POS,Debit,Bills,177134.27,0
TXN000133,ACC00141,2022-04-15,UPI,Debit,EMI,124822.4,0
TXN000134,ACC00231,2023-04-29,UPI,Debit,Transfer,7075.08,0
TXN000135,ACC00300,2022-06-18,Online,Credit,EMI,96281.23,0
TXN000136,ACC00163,2022-04-12,UPI,Debit,Transfer,176966.47,0
TXN000137,ACC00311,2023-09-04,Online,Debit,Fees,142832.22,0
TXN000138,ACC00393,2022-02-24,UPI,Credit,Bills,174034.88,0
TXN000139,ACC00130,2023-02-01,POS,Debit,EMI,134832.25,0
TXN000140,ACC00445,2023-10-03,Branch,Credit,EMI,8854.8,0
TXN000141,ACC00246,2023-06-10,Branch,Credit,Transfer,193602.93,0
TXN000142,ACC00297,2021-11-04,Online,Credit,Cash Withdrawal,183607.81,0
TXN000143,ACC00172,2023-07-13,UPI,Debit,Cash Withdrawal,25359.58,0
TXN000144,ACC00064,2021-11-30,ATM,Debit,EMI,22582.6,0
TXN000145,ACC00031,2023-08-12,POS,Debit,EMI,107838.75,0
TXN000146,ACC00047,2023-10-19,UPI,Credit,Fees,151422.31,0
TXN000147,ACC00130,2023-02-28,ATM,Debit,Bills,76465.53,0
TXN000148,ACC00352,2023-04-12,POS,Credit,Transfer,27319.61,0
TXN000149,ACC00333,2023-04-24,POS,Debit,Transfer,102135.69,0
TXN000150,ACC00110,2021-09-07,Branch,Credit,Salary,67546.35,1
TXN000151,ACC00069,2021-07-03,Online,Credit,Transfer,70386.8,0
TXN000152,ACC00058,2023-03-10,UPI,Credit,Bills,129014.86,0
TXN000153,ACC00106,2021-07-05,POS,Credit,EMI,177127.34,0
TXN000154,ACC00300,2023-12-29,UPI,Credit,Fees,111740.42,1
TXN000155,ACC00330,2023-04-18,POS,Credit,Salary,137536.12,0
TXN000156,ACC00256,2022-09-19,Branch,Credit,Fees,132006.4,0
TXN000157,ACC00312,2023-05-09,Online,Credit,Fees,110251.68,0
TXN000158,ACC00171,2021-01-08,ATM,Credit,EMI,62186.09,0
TXN000159,ACC00383,2023-02-22,ATM,Credit,Transfer,75589.95,0
TXN000160,ACC00162,2023-02-14,Branch,Credit,Shopping,63174.97,0
TXN000161,ACC00286,2023-10-04,POS,Credit,EMI,183503.74,0
TXN000162,ACC00071,2022-11-08,Branch,Debit,Cash Withdrawal,165332.4,0
TXN000163,ACC00255,2021-07-30,Online,Debit,Transfer,115890.51,0
TXN000164,ACC00374,2022-05-05,ATM,Credit,Cash Withdrawal,182453.08,0
TXN000165,ACC00055,2022-10-01,UPI,Debit,Bills,177287.42,0
TXN000166,ACC00323,2021-07-10,ATM,Credit,Cash Withdrawal,185542.5,0
TXN000167,ACC00397,2022-11-02,Online,Debit,Transfer,44393.68,0
TXN000168,ACC00003,2023-04-23,POS,Credit,Salary,143514.73,0
TXN000169,ACC00026,2021-12-01,Branch,Debit,Cash Withdrawal,121864.44,0
TXN000170,ACC00313,2022-08-02,ATM,Credit,Shopping,146779.44,0
TXN000171,ACC00126,2021-03-03,ATM,Debit,Fees,52712.7,0
TXN000172,ACC00408,2022-01-22,UPI,Credit,Shopping,138977.07,0
TXN000173,ACC00053,2021-06-02,Branch,Debit,Shopping,81995.21,0
TXN000174,ACC00198,2022-09-11,UPI,Debit,Cash Withdrawal,166826.65,0
TXN000175,ACC00299,2022-11-29,UPI,Debit,Bills,159083.38,0
TXN000176,ACC00188,2021-06-27,POS,Credit,Shopping,42310.95,0
TXN000177,ACC00186,2023-04-27,ATM,Debit,EMI,36811.86,0
TXN000178,ACC00305,2022-05-02,Branch,Debit,Fees,143560.46,0
TXN000179,ACC00298,2022-05-15,POS,Credit,Bills,110117.46,1
TXN000180,ACC00204,2022-06-25,POS,Credit,Transfer,111463.32,0
TXN000181,ACC00450,2021-01-13,POS,Debit,Salary,150515.44,0
TXN000182,ACC00011,2021-05-31,Online,Credit,Bills,171001.41,0
TXN000183,ACC00359,2023-12-10,Online,Debit,Fees,47830.83,0
TXN000184,ACC00354,2023-09-18,POS,Debit,Fees,111130.13,0
TXN000185,ACC00146,2022-10-06,Online,Credit,Salary,165799.49,0
TXN000186,ACC00085,2022-01-07,Branch,Debit,Bills,174565.19,0
TXN000187,ACC00100,2021-09-09,ATM,Debit,Transfer,57517.51,0
TXN000188,ACC00104,2021-02-22,Branch,Credit,Salary,20875.56,0
TXN000189,ACC00436,2021-07-12,ATM,Credit,Fees,46603.01,0
TXN000190,ACC00046,2022-08-14,Online,Debit,Bills,189102.63,0
TXN000191,ACC00044,2023-12-17,Branch,Debit,Fees,92522.82,0
TXN000192,ACC00278,2021-04-07,UPI,Debit,Salary,83743.83,0
TXN000193,ACC00181,2021-07-17,POS,Credit,Shopping,2666.22,0
TXN000194,ACC00187,2021-05-27,ATM,Debit,Fees,10250.39,0
TXN000195,ACC00114,2022-12-24,ATM,Debit,Shopping,133755.75,0
TXN000196,ACC00255,2022-11-15,UPI,Debit,Cash Withdrawal,117985.92,0
TXN000197,ACC00381,2023-11-02,UPI,Credit,Shopping,115126.88,0
TXN000198,ACC00380,2021-11-29,POS,Debit,EMI,22109.06,0
TXN000199,ACC00030,2022-05-27,Online,Debit,Shopping,70444.63,0
TXN000200,ACC00264,2021-06-21,Branch,Credit,Shopping,162481.01,0
TXN000201,ACC00098,2022-07-18,Branch,Credit,Transfer,35023.5,0
TXN000202,ACC00313,2022-05-27,Branch,Debit,Salary,176543.32,0
TXN000203,ACC00367,2021-04-15,Online,Credit,Salary,24339.59,0
TXN000204,ACC00329,2022-11-05,POS,Debit,Shopping,33871.41,0
TXN000205,ACC00115,2023-03-18,Branch,Debit,Salary,95576.1,0
TXN000206,ACC00276,2023-12-01,ATM,Credit,Bills,189062.72,0
TXN000207,ACC00281,2023-06-08,ATM,Debit,Cash Withdrawal,65943.06,0
TXN000208,ACC00275,2023-05-26,ATM,Debit,Fees,131660.69,0
TXN000209,ACC00261,2022-11-08,UPI,Debit,Shopping,117754.82,0
TXN000210,ACC00331,2021-11-17,UPI,Debit,Cash Withdrawal,29967.05,0
TXN000211,ACC00207,2021-12-01,Online,Debit,Shopping,49670.97,0
TXN000212,ACC00384,2021-09-21,Branch,Credit,EMI,186034.05,0
TXN000213,ACC00328,2023-05-15,UPI,Debit,Cash Withdrawal,37006.68,0
TXN000214,ACC00211,2021-12-18,ATM,Debit,Bills,139017.23,0
TXN000215,ACC00215,2022-11-07,UPI,Credit,Shopping,192940.66,0
TXN000216,ACC00411,2023-07-08,ATM,Credit,Shopping,23945.22,0
TXN000217,ACC00040,2021-01-05,Branch,Credit,Salary,79866.44,0
TXN000218,ACC00026,2021-02-03,Online,Credit,Shopping,44825.23,0
TXN000219,ACC00027,2021-12-17,POS,Credit,Cash Withdrawal,44351.23,0
TXN000220,ACC00190,2022-08-06,POS,Credit,Cash Withdrawal,23841.22,0
TXN000221,ACC00083,2022-04-10,ATM,Credit,Shopping,129927.76,0
TXN000222,ACC00384,2021-12-14,UPI,Credit,Shopping,149281.38,0
TXN000223,ACC00434,2021-05-05,UPI,Debit,Shopping,135374.94,0
TXN000224,ACC00170,2021-12-23,ATM,Debit,EMI,184935.06,0
TXN000225,ACC00413,2022-06-11,Branch,Credit,Bills,29178.48,0
TXN000226,ACC00167,2022-05-13,ATM,Debit,Fees,64003.08,0
TXN000227,ACC00188,2021-02-22,Branch,Debit,Cash Withdrawal,68947.33,0
TXN000228,ACC00169,2021-05-29,Online,Debit,EMI,46454.82,0
TXN000229,ACC00289,2022-05-18,Online,Debit,Fees,28483.88,0
TXN000230,ACC00229,2023-05-20,ATM,Debit,Salary,97366.36,0
TXN000231,ACC00097,2021-08-07,Online,Credit,Transfer,166896.2,0
TXN000232,ACC00367,2022-03-28,UPI,Credit,Shopping,190910.22,0
TXN000233,ACC00016,2021-03-24,Branch,Debit,Cash Withdrawal,25911.66,0
TXN000234,ACC00279,2023-01-08,POS,Credit,Fees,164640.29,0
TXN000235,ACC00135,2022-06-11,POS,Debit,Salary,164925.0,0
TXN000236,ACC00026,2022-02-08,Online,Debit,Cash Withdrawal,77826.18,0
TXN000237,ACC00352,2021-10-17,Branch,Debit,Transfer,22050.42,0
TXN000238,ACC00012,2022-02-24,UPI,Credit,Fees,198002.1,0
TXN000239,ACC00072,2021-12-05,POS,Debit,Shopping,131135.83,0
TXN000240,ACC00133,2023-02-16,UPI,Debit,Cash Withdrawal,196440.03,0
TXN000241,ACC00106,2022-12-12,UPI,Debit,Shopping,96756.92,0
TXN000242,ACC00220,2023-09-14,POS,Credit,Transfer,79068.84,0
TXN000243,ACC00373,2023-08-17,POS,Debit,EMI,49474.74,0
TXN000244,ACC00177,2022-11-17,Online,Credit,Fees,196715.22,1
TXN000245,ACC00282,2023-11-26,Branch,Debit,Transfer,50688.79,0
TXN000246,ACC00133,2022-01-08,ATM,Debit,Transfer,4801.36,0
TXN000247,ACC00022,2023-09-21,Branch,Debit,Cash Withdrawal,102518.06,0
TXN000248,ACC00269,2022-06-15,ATM,Credit,Fees,75441.25,0
TXN000249,ACC00412,2023-07-13,POS,Debit,Bills,52313.43,0
TXN000250,ACC00161,2021-01-23,UPI,Debit,Shopping,126939.89,0
TXN000251,ACC00107,2021-04-14,Branch,Debit,Fees,72885.51,0
TXN000252,ACC00279,2021-08-29,UPI,Debit,Cash Withdrawal,80480.07,0
TXN000253,ACC00353,2023-10-02,Branch,Debit,Shopping,4657.97,0
TXN000254,ACC00235,2023-06-22,Branch,Debit,EMI,117834.73,0
TXN000255,ACC00018,2023-03-25,UPI,Credit,Fees,24458.1,0
TXN000256,ACC00242,2022-10-17,Online,Debit,EMI,42800.28,0
TXN000257,ACC00117,2023-02-22,POS,Credit,Bills,143437.71,0
TXN000258,ACC00286,2021-11-03,Online,Debit,Bills,62682.88,0
TXN000259,ACC00282,2021-01-08,Online,Credit,Bills,32683.88,0
TXN000260,ACC00144,2023-12-29,Branch,Debit,EMI,115505.96,0
TXN000261,ACC00205,2022-07-29,POS,Credit,Transfer,43020.15,0
TXN000262,ACC00039,2023-12-28,Branch,Debit,Cash Withdrawal,54232.09,0
TXN000263,ACC00417,2023-07-01,ATM,Credit,Shopping,124286.8,0
TXN000264,ACC00154,2022-06-02,Branch,Debit,Shopping,147985.36,0
TXN000265,ACC00176,2023-11-21,UPI,Credit,Cash Withdrawal,147944.95,1
TXN000266,ACC00449,2022-04-28,Branch,Debit,Salary,96474.57,0
TXN000267,ACC00241,2021-07-26,ATM,Debit,EMI,90886.67,0
TXN000268,ACC00422,2022-10-31,Branch,Debit,EMI,157539.65,0
TXN000269,ACC00386,2022-08-02,ATM,Credit,Bills,38647.29,0
TXN000270,ACC00369,2022-01-22,POS,Credit,Fees,30482.88,0
TXN000271,ACC00134,2022-02-16,Branch,Credit,Fees,132955.78,0
TXN000272,ACC00046,2023-06-10,ATM,Debit,Cash Withdrawal,81930.91,0
TXN000273,ACC00050,2023-06-25,POS,Credit,Salary,142014.19,0
TXN000274,ACC00166,2023-08-21,UPI,Debit,Salary,51357.21,0
TXN000275,ACC00106,2023-08-23,Online,Debit,EMI,65008.13,0
TXN000276,ACC00216,2021-05-20,ATM,Debit,Bills,179340.7,0
TXN000277,ACC00146,2021-10-27,UPI,Debit,Shopping,84360.22,0
TXN000278,ACC00411,2023-11-03,POS,Debit,Bills,118211.15,0
TXN000279,ACC00425,2022-10-26,UPI,Debit,Shopping,21381.1,0
TXN000280,ACC00072,2023-04-05,Branch,Debit,Fees,35806.89,0
TXN000281,ACC00330,2022-02-04,Online,Credit,EMI,7225.75,0
TXN000282,ACC00273,2023-09-19,ATM,Credit,Bills,84902.94,0
TXN000283,ACC00247,2021-05-29,POS,Debit,Salary,197784.55,0
TXN000284,ACC00446,2021-11-03,Online,Debit,Cash Withdrawal,174780.94,0
TXN000285,ACC00413,2023-12-20,POS,Credit,Transfer,126600.14,0
TXN000286,ACC00186,2022-03-11,UPI,Debit,Salary,172226.24,0
TXN000287,ACC00070,2021-01-21,POS,Credit,Fees,118854.16,0
TXN000288,ACC00150,2023-05-25,POS,Debit,Cash Withdrawal,73785.34,0
TXN000289,ACC00246,2022-01-17,UPI,Debit,Shopping,34750.6,0
TXN000290,ACC00262,2021-09-02,UPI,Credit,EMI,130627.1,0
TXN000291,ACC00026,2024-01-02,Online,Credit,Bills,38650.6,0
TXN000292,ACC00423,2024-01-05,ATM,Debit,Fees,83514.81,0
TXN000293,ACC00140,2022-11-29,UPI,Debit,Fees,165169.08,0
TXN000294,ACC00099,2022-08-13,Online,Credit,EMI,25889.4,0
TXN000295,ACC00398,2022-01-25,POS,Credit,EMI,25847.83,0
TXN000296,ACC00278,2022-07-22,POS,Credit,Shopping,44919.26,0
TXN000297,ACC00051,2021-09-16,Branch,Debit,EMI,110405.87,0
TXN000298,ACC00151,2022-03-02,UPI,Credit,Bills,50382.11,0
TXN000299,ACC00432,2023-10-27,Online,Debit,Fees,100664.43,0
TXN000300,ACC00104,2021-01-06,Online,Credit,Salary,60431.42,0
TXN000301,ACC00434,2021-07-10,ATM,Credit,EMI,101273.13,0
TXN000302,ACC00089,2021-05-28,Online,Credit,Bills,55562.41,0
TXN000303,ACC00141,2022-02-09,UPI,Credit,Bills,196003.47,0
TXN000304,ACC00213,2021-09-15,Online,Debit,Shopping,98568.94,0
TXN000305,ACC00233,2022-12-31,Branch,Debit,EMI,148741.5,0
TXN000306,ACC00394,2021-03-31,POS,Credit,Fees,140124.28,0
TXN000307,ACC00183,2023-04-04,POS,Debit,Shopping,98137.35,1
TXN000308,ACC00251,2021-01-10,Online,Debit,Salary,47810.47,0
TXN000309,ACC00009,2023-04-18,Online,Debit,Salary,102168.12,0
TXN000310,ACC00079,2023-09-15,Online,Credit,Cash Withdrawal,136210.28,0
TXN000311,ACC00052,2022-09-17,Online,Credit,Bills,92010.86,0
TXN000312,ACC00386,2021-01-30,Branch,Debit,EMI,16430.93,0
TXN000313,ACC00409,2021-05-08,UPI,Credit,Cash Withdrawal,3645.75,0
TXN000314,ACC00269,2022-02-25,Branch,Credit,Fees,65608.97,0
TXN000315,ACC00226,2023-12-15,Branch,Credit,Bills,30087.27,0
TXN000316,ACC00051,2021-11-01,Branch,Credit,Fees,181242.74,0
TXN000317,ACC00186,2022-06-30,POS,Debit,EMI,35207.74,0
TXN000318,ACC00034,2021-01-22,Branch,Debit,Shopping,78886.83,0
TXN000319,ACC00291,2022-01-26,Online,Credit,Salary,142429.9,0
TXN000320,ACC00230,2022-09-09,Branch,Debit,Cash Withdrawal,163093.56,0
TXN000321,ACC00131,2021-05-29,Online,Debit,Fees,95568.74,0
TXN000322,ACC00120,2021-10-26,UPI,Debit,Cash Withdrawal,36267.95,0
TXN000323,ACC00443,2021-06-21,POS,Debit,Salary,54215.5,0
TXN000324,ACC00326,2021-02-16,UPI,Debit,Shopping,83822.74,0
TXN000325,ACC00247,2022-09-18,UPI,Credit,Transfer,72950.69,0
TXN000326,ACC00432,2021-07-26,POS,Debit,Transfer,69767.12,0
TXN000327,ACC00192,2022-03-29,Online,Debit,Fees,26414.17,0
TXN000328,ACC00403,2023-07-14,Online,Credit,Transfer,182666.38,0
TXN000329,ACC00323,2023-01-24,Online,Credit,EMI,5999.83,0
TXN000330,ACC00210,2022-12-09,POS,Credit,Cash Withdrawal,88028.43,0
TXN000331,ACC00103,2023-10-06,Branch,Debit,Shopping,196065.28,0
TXN000332,ACC00329,2022-11-07,ATM,Debit,EMI,131961.8,0
TXN000333,ACC00372,2023-05-05,Branch,Credit,EMI,71114.36,0
TXN000334,ACC00133,2023-02-22,Branch,Debit,Fees,29262.21,0
TXN000335,ACC00323,2022-11-15,UPI,Credit,Shopping,192776.33,0
TXN000336,ACC00139,2023-08-21,ATM,Credit,EMI,2846.57,0
TXN000337,ACC00121,2023-05-14,Online,Debit,Fees,136293.44,0
TXN000338,ACC00094,2021-06-17,Branch,Credit,Cash Withdrawal,176033.49,0
TXN000339,ACC00129,2021-03-27,POS,Debit,Shopping,5080.84,0
TXN000340,ACC00091,2023-04-29,Branch,Credit,Transfer,145048.71,0
TXN000341,ACC00092,2023-12-11,Online,Credit,Transfer,199767.61,0
TXN000342,ACC00063,2022-03-18,Branch,Credit,EMI,127946.51,0
TXN000343,ACC00029,2021-09-28,UPI,Debit,Salary,82965.06,0
TXN000344,ACC00210,2021-12-10,UPI,Credit,Shopping,174886.42,0
TXN000345,ACC00012,2022-05-18,Branch,Credit,Bills,110858.14,0
TXN000346,ACC00333,2023-10-31,UPI,Credit,Fees,149900.7,0
TXN000347,ACC00297,2022-05-09,POS,Debit,Bills,117576.41,0
TXN000348,ACC00130,2021-09-01,ATM,Debit,EMI,7706.3,0
TXN000349,ACC00293,2021-09-24,Branch,Debit,Salary,42668.34,0
TXN000350,ACC00173,2023-06-12,POS,Debit,Shopping,15798.78,0
TXN000351,ACC00208,2021-07-20,POS,Debit,Transfer,21382.22,0
TXN000352,ACC00432,2021-08-27,POS,Credit,EMI,3130.33,0
TXN000353,ACC00024,2023-07-04,Online,Credit,Shopping,84261.94,0
TXN000354,ACC00099,2023-08-27,Branch,Credit,Shopping,35771.39,0
TXN000355,ACC00406,2022-04-29,Branch,Credit,Shopping,171146.52,0
TXN000356,ACC00356,2021-09-03,Branch,Debit,Salary,150020.01,1
TXN000357,ACC00139,2023-10-29,ATM,Credit,Shopping,114656.74,0
TXN000358,ACC00314,2021-06-01,POS,Debit,Salary,97829.82,0
