order_id,customer_id,product_id,payment_id,shipping_id,date_id,quantity,discount_pct,final_price,review_rating,promo_code_used,return_flag
112,48,7,3,3,55,2,15,418.64,2,1,1
113,27,15,2,3,10,1,5,43.8,5,0,0
114,43,7,3,2,23,2,15,418.64,4,0,0
115,22,13,3,2,49,3,5,931.72,3,0,1
116,42,5,2,1,12,3,20,976.01,4,1,1
117,10,13,1,3,60,1,10,294.23,2,1,1
118,44,3,1,2,58,3,20,142.37,1,1,0
119,22,10,3,1,36,2,0,194.66,4,1,1
120,18,4,3,3,39,2,10,778.25,4,1,1
121,34,7,3,2,54,3,0,738.78,5,0,0
122,35,11,2,3,47,3,5,239.14,2,1,0
123,12,20,2,1,49,2,5,360.58,5,1,1
124,41,11,3,2,44,3,20,201.38,1,1,1
125,8,7,3,3,45,3,5,701.84,5,1,1
126,39,15,3,3,16,3,20,110.64,2,1,1
127,46,18,1,3,52,3,15,1009.54,1,0,1
128,48,7,1,3,28,3,0,738.78,4,0,1
129,27,11,1,1,26,3,0,251.73,1,1,0
130,31,14,2,1,18,3,10,92.37,3,1,0
131,39,6,3,3,42,3,20,63.53,2,1,0
132,23,10,1,2,31,3,20,233.59,4,1,1
133,41,16,3,2,28,2,20,636.22,2,1,1
134,49,13,3,3,24,1,0,326.92,3,1,0
135,31,21,3,3,6,2,5,760.74,2,0,0
136,10,7,3,2,46,1,0,246.26,5,1,0
137,28,2,2,1,8,1,10,45.13,1,1,1
138,47,11,1,3,31,2,0,167.82,1,1,0
139,2,11,1,2,22,2,15,142.65,2,1,1
140,3,17,2,1,30,3,0,532.05,3,0,1
141,50,21,3,2,6,1,5,380.37,5,1,0
142,16,3,2,3,31,1,5,56.35,5,0,1
143,41,14,2,3,6,2,15,58.16,5,1,0
144,40,20,1,1,5,2,0,379.56,5,0,0
145,12,9,3,2,47,2,0,878.48,1,1,1
146,40,11,2,2,32,1,20,67.13,5,0,1
147,27,10,3,3,25,2,5,184.93,1,0,0
148,24,1,3,1,24,1,10,33.33,1,0,1
149,3,8,3,2,27,2,5,420.75,2,1,0
150,47,16,1,2,8,1,0,397.64,2,0,1
151,23,14,3,2,18,1,10,30.79,3,0,1
152,34,4,1,1,26,2,15,735.01,2,0,1
153,35,18,3,3,14,3,15,1009.54,3,1,1
154,47,18,2,3,26,2,20,633.44,1,0,1
155,43,4,3,2,54,2,5,821.48,4,1,1
156,22,21,1,1,37,1,10,360.35,1,1,0
157,21,17,3,1,47,1,20,141.88,2,1,1
158,6,10,2,3,36,3,5,277.39,2,1,0
159,40,3,1,2,9,1,20,47.46,1,0,0
160,16,14,1,3,10,3,0,102.63,4,0,0
161,36,14,3,1,40,3,20,82.1,1,1,1
162,36,19,2,2,37,3,20,372.31,2,0,0
163,27,13,3,1,8,1,20,261.54,2,0,1
164,15,7,1,2,59,2,15,418.64,3,0,1
165,37,12,3,2,9,1,10,170.75,1,0,1
166,39,13,3,1,2,2,0,653.84,3,0,1
167,39,10,2,2,8,3,15,248.19,2,0,1
168,48,14,1,3,8,3,10,92.37,4,0,1
169,30,5,3,2,37,3,15,1037.01,2,0,0
170,32,3,1,2,51,1,5,56.35,4,1,1
171,2,12,1,1,60,3,10,512.24,2,1,0
172,6,8,1,1,41,3,10,597.92,4,0,0
173,19,2,2,1,28,1,10,45.13,4,0,1
174,20,14,3,1,7,3,15,87.24,1,0,0
175,11,19,1,1,22,3,5,442.12,1,1,1
176,28,16,1,1,1,3,10,1073.63,3,1,0
177,5,15,3,3,59,3,15,117.56,3,0,1
178,36,18,3,2,23,3,20,950.16,5,1,1
179,23,20,3,1,46,1,5,180.29,2,1,0
180,11,19,2,1,17,3,10,418.85,5,0,0
181,13,14,3,1,4,3,0,102.63,1,0,0
182,11,3,2,2,38,2,5,112.71,1,1,1
183,23,19,1,2,54,1,0,155.13,5,0,0
184,7,3,2,3,16,2,0,118.64,5,0,1
185,10,12,1,3,55,2,15,322.52,3,0,1
186,13,19,1,1,12,2,0,310.26,4,0,0
187,40,4,2,1,50,2,5,821.48,3,0,0
188,40,2,3,3,44,3,0,150.42,5,0,1
189,10,3,3,3,46,1,10,53.39,1,0,1
190,18,2,2,2,32,3,15,127.86,5,0,1
191,31,8,1,2,44,1,10,199.3,3,1,0
192,23,12,2,3,39,3,10,512.24,4,1,0
193,13,5,3,1,5,2,15,691.34,5,0,1
194,34,15,3,2,23,1,20,36.88,1,0,0
195,39,15,1,3,48,1,0,46.1,2,1,0
196,38,16,2,1,34,1,20,318.11,3,0,1
197,30,20,1,3,9,1,20,151.82,3,1,0
198,41,21,1,2,42,1,20,320.31,1,0,1
199,48,18,2,2,41,3,20,950.16,2,0,0
200,50,8,3,2,8,3,20,531.48,1,0,0
201,41,18,2,1,40,1,20,316.72,3,1,1
202,14,20,1,2,24,3,20,455.47,4,0,1
203,46,16,1,1,55,3,10,1073.63,4,0,1
204,46,10,2,2,40,3,15,248.19,4,1,1
205,7,15,3,1,30,3,15,117.56,4,1,1
206,27,14,2,2,5,1,5,32.5,5,1,1
207,26,7,1,2,32,3,0,738.78,2,0,1
208,22,20,1,2,46,1,15,161.31,3,0,0
209,18,2,2,2,13,1,15,42.62,2,0,0
210,11,2,1,3,54,1,20,40.11,1,1,0
211,26,14,3,1,22,2,15,58.16,4,1,1
212,28,2,3,3,53,3,10,135.38,2,0,1
213,38,6,1,2,12,3,20,63.53,1,0,1
214,18,11,1,2,30,1,5,79.71,2,0,1
215,28,13,1,1,27,3,15,833.65,3,1,0
216,13,20,2,3,32,3,5,540.87,5,0,0
217,19,18,3,3,16,3,15,1009.54,5,0,0
218,10,9,3,1,34,2,15,746.71,2,0,1
219,33,10,2,2,42,3,10,262.79,4,1,1
220,44,1,2,2,36,1,10,33.33,2,0,1
221,5,12,2,1,38,3,5,540.7,3,0,1
222,43,18,3,2,27,3,0,1187.7,4,1,0
223,45,1,2,2,46,3,15,94.43,5,1,1
224,11,20,3,2,56,1,0,189.78,5,0,0
225,32,21,3,3,31,2,5,760.74,4,1,0
226,34,21,3,1,5,1,15,340.33,3,0,0
227,1,8,3,1,14,3,5,631.13,5,1,0
228,32,20,2,1,49,3,0,569.34,1,0,0
229,4,3,3,3,43,3,0,177.96,2,1,1
230,19,14,3,3,4,1,5,32.5,3,0,1
231,25,21,2,2,8,1,0,400.39,4,1,1
232,20,11,3,1,37,2,15,142.65,3,1,0
233,25,18,1,3,57,1,5,376.1,3,0,0
234,3,3,1,3,26,1,15,50.42,4,1,1
235,7,13,3,3,16,3,15,833.65,1,0,0
236,19,9,2,1,20,1,5,417.28,5,0,0
237,41,20,2,2,46,2,15,322.63,2,0,0
238,30,7,3,2,52,1,20,197.01,3,0,0
239,7,6,1,1,38,2,15,45,1,1,0
240,15,2,2,1,13,3,0,150.42,5,0,1
241,38,2,2,3,40,1,15,42.62,5,1,1
242,28,17,3,3,32,1,0,177.35,2,1,0
243,41,9,3,1,15,3,10,1185.95,3,0,0
244,23,8,2,1,2,3,10,597.92,1,1,1
245,31,4,3,2,20,2,20,691.78,5,0,1
246,5,14,3,3,20,3,10,92.37,1,0,1
247,37,20,1,2,20,3,5,540.87,3,1,1
248,13,10,2,1,22,2,5,184.93,5,1,0
249,34,2,2,2,3,1,15,42.62,4,0,0
250,44,14,2,2,25,2,5,65,3,1,0
